id,created_at,text,source
667858829158326276,2015-11-21 00:15:27,@NasserElamine you bastard kafir go ask any historian about the historical islamic caliphates and empires you used to pay us jizya lol,Twitter for Android
667858686170238976,2015-11-21 00:14:53,@NasserElamine listen you bastard go die in your rage in the end the Muslims will.be Victorious,Twitter for Android
667858020626505729,2015-11-21 00:12:14,@NasserElamine na am you.apostate they'd first humiliate you for waging your propaganda war and then do what they need to,Twitter for Android
667857022575116288,2015-11-21 00:08:17,@NasserElamine because you want democracy and you are against the sharia jog on now go off to work for the kuffar son,Twitter for Android
667855887839731713,2015-11-21 00:03:46,@NasserElamine when we crush bashar and establish sharia go commit suicide you apostate bastard,Twitter for Android
667855704288600064,2015-11-21 00:03:02,@NasserElamine you're just a newspaper editor for an apostate company you bastard child tell me one ahrar leader calling for democracy,Twitter for Android
667855571866009602,2015-11-21 00:02:31,@NasserElamine you apostate you need to know that they will NOT compromise sharia also uve met ahrar leaders n fighters and they told me,Twitter for Android
667854608002326530,2015-11-20 23:58:41,@NasserElamine lol you fool today they released a statement re affirming call to sharia,Twitter for Android
667842823262232579,2015-11-20 23:11:51,@Charles_Lister @HuffingtonPost lol you bastard youve never been to IS territory lol,Twitter Web Client
667826223100198912,2015-11-20 22:05:53,"The more the western nations the enemies of humanity and Islam invade Muslims and kill Muslims the more ""radical"" groups emerge 
Ahmet VS",Twitter Web Client
667826039192596480,2015-11-20 22:05:10,"To ""Eradicate AQ"" and find ""weapons of mass destruction"" Today IS have chemical weapons and AQ have surveillance drones well done America",Twitter Web Client
667825826377764866,2015-11-20 22:04:19,The mistakes of the kuffar are at unprecedented levels the enemies of Humanity launched the invasion of Iraq and killed 1 million people,Twitter Web Client
667825612510236672,2015-11-20 22:03:28,"IS sent a message to AQ by saying ""Look what we did to Paris we are better than you"" AQ responded by Mali ""We took 179 hostages"" did you?",Twitter Web Client
667822585543946241,2015-11-20 21:51:26,This statement by Ahrar Al Sham will have positive effects inside Syria but will anger many foreign (western and Gulf) states (Tawagheet),Twitter Web Client
667822523657011200,2015-11-20 21:51:11,"The hotels"" and know nothing about the Syrian Jihad.
5) Thank Jabhat Al Nusrah for killing the leaders of IS in Dara, Liwa Shuhada Yarmouk",Twitter Web Client
667822475577704448,2015-11-20 21:51:00,"Any aspects of Islam.
4) Thanks the Levant front for exposing and expelling the ""fake exiled Government and Ittelaf... Who don't know except",Twitter Web Client
667822435173961729,2015-11-20 21:50:50,"accept foreign demands to compromise their religion. 3) warns against the ""callers at the doors of the west"" against compromising on",Twitter Web Client
667822165635428352,2015-11-20 21:49:46,"Important statement by Ahrars shar3i board :

1) Warns against the conspiracy of the Vienna talks 
2) Says they https://t.co/mWXS0PVIGm",Twitter Web Client
667821865574862848,2015-11-20 21:48:34,@khalidi4sham1 @trust_N0on3 Allahuakbar,Twitter Web Client
667821570350448640,2015-11-20 21:47:24,@SaqrQaiid https://t.co/SL2PKpOrl3 The False Dawn Part 3 Trailer,Twitter Web Client
667821400858595328,2015-11-20 21:46:44,@SaqrQaiid https://t.co/mWXS0PVIGm,Twitter Web Client
667803102372888577,2015-11-20 20:34:01,Did you know? #France used to collect tax to try and defeat Saladin but FAILED #ParisAttacks https://t.co/mWXS0Qdk4W https://t.co/XueYw9bWGu,Twitter Web Client
667768211551690753,2015-11-20 18:15:22,And the 1 million civilians killed in 2003-2011? https://t.co/EpcgNM5Cf3,Twitter Web Client
667767842704637952,2015-11-20 18:13:54,@Majstar7 https://t.co/PgZinCWu8n AQ attack-some reports say French military are among hostages if true this is huge https://t.co/mWXS0Qdk4W,Twitter Web Client
667767736307736576,2015-11-20 18:13:29,@Majstar7 na am a reaction,Twitter Web Client
667766979802103808,2015-11-20 18:10:29,https://t.co/PgZinCWu8n Al QaedaMali attack-some reports say French military are among hostages if true this is huge https://t.co/mWXS0Qdk4W,Twitter Web Client
667707598720909312,2015-11-20 14:14:31,@FRANCE24 If the Ottomon Empire was around today France would be in big trouble,Twitter Web Client
667677626547445760,2015-11-20 12:15:25,https://t.co/bZHALazZzE … https://t.co/PBBLFqDIK4 … Jabhat al Nura shoots down Russian drone https://t.co/QU0GZdcMA8,Twitter Web Client
667517759660666880,2015-11-20 01:40:10,"RT @democracynow: .@ggreenwald: CIA Blame of @Snowden for Paris Attacks is ""Blatant, Shameless Lying"" https://t.co/VShnAVO5Qa https://t.co/…",Twitter for Android
667470977836650496,2015-11-19 22:34:16,@LawyerAdamHouda https://t.co/PBBLFqDIK4 Why did #ParisAttacks occur? check it out,Twitter Web Client
