id,created_at,text,source
669940324404469762,2015-11-26 18:06:34,"RT @VivaRevolt: Emerging reports that the YPG is trying to storm FSA-Held Malikiyah Village near Azaz,YPG in Efrin fell for Putin's Demonic…",Twitter for iPhone
669940035576274945,2015-11-26 18:05:26,"RT @markito0171: #Syria Seems kurdish #YPG change its politics- try to expand &amp; gain new territory instead of only defend it\0x0A-Imperialism-",Twitter for iPhone
669930831062933506,2015-11-26 17:28:51,"entered into an alliance with AQ-linked MSC Derna to assist in the fight against #IS.\0x0AOn 15 Nov, MSC Derna announced the anti-#IS operation.",Twitter for iPhone
669930432016875520,2015-11-26 17:27:16,"It's noteworthy that #IS forces have killed Colonel Mohamed Bughafir on 16th Nov, just one day after his battalion ""Ali Hassan al-Jaber""",Twitter for iPhone
669919730711556096,2015-11-26 16:44:44,"Al-Qaeda terrorists are too desperate to defeat #IS arent they? lol \0x0AThey've been allying with moderate-ass foreign-backed rebels everywhere",Twitter for iPhone
669917410691018753,2015-11-26 16:35:31,"The attack by AQ terrorists &amp; their apostate &amp;secular allies was thwarted, their weapons confiscated by #IS forces.. https://t.co/QxJefUmXFF",Twitter for iPhone
669915516061016064,2015-11-26 16:28:00,These factions participate in the “Battle of the Martyrs of al-Quba” led by the alQaeda-linked Mujahedin Shura Council(MSC Derna) against IS,Twitter for iPhone
669914883941601280,2015-11-26 16:25:29,"#IS forces repulse attacks by allied murtadd factions in the mountainous region overlooking #Derna, #Libya. https://t.co/XHbisIcYJe",Twitter for iPhone
669912409851731968,2015-11-26 16:15:39,"@TawheedofAllah_ \0x0AThe pussified western kuffar usually attack muslim women and girls.\0x0AThey're too cowardly to fight hotheaded muslim men",Twitter for iPhone
669910461576515588,2015-11-26 16:07:55,"RT @TawheedofAllah_: ""ISIS sells oil to Assad"" \0x0A\0x0ALie destroyed in 3..2.. https://t.co/FO4efLIEeP",Twitter for iPhone
669909804589178880,2015-11-26 16:05:18,"@AzraqDaWebo \0x0AYes.\0x0ATo the world, Syrian Muslim kids are just numbers.",Twitter for iPhone
