id,created_at,text
503258350113808384,2014-08-23 19:11:55,The #Islamic_State (#IS) soldiers gun down Assad soldiers during the conquest of Base 93 in #Syria a few days ago: http://t.co/bCrbbADehs
503258185671909376,2014-08-23 19:11:16,The #Islamic_State (#IS) soldiers gun down Assad soldiers during the conquest of Base 93 in #Syria a few days ago: http://t.co/UfMPlCbk0G
503256552912846848,2014-08-23 19:04:46,The #Islamic_State (#IS) snipers take out Assad soldiers during the conquest of Base 93 in #Syria a few days ago: http://t.co/Afr5rDSxie
503256480447877121,2014-08-23 19:04:29,The #Islamic_State (#IS) snipers take out Assad soldiers during the conquest of Base 93 in #Syria a few days ago: http://t.co/rnmUez1rSs
503256366740295680,2014-08-23 19:04:02,The #Islamic_State (#IS) snipers take out Assad soldiers during the conquest of Base 93 in #Syria a few days ago: http://t.co/5Q5bw7G3H5
503254879646011392,2014-08-23 18:58:08,RT @Ehsanullahihsan: #ISIS You tried 2 negotiate Foley for Dr Afia Siddique proving that Real Muslims never forget their Aseer and that we …
503254822712537088,2014-08-23 18:57:54,RT @Anti_taghoot: Taliban in Pakistan (TTP) spokesperson praised for #IslamicState &amp; Called them real Muslims... http://t.co/lXJQlAuos6
503254604340285440,2014-08-23 18:57:02,"RT @Darulfiqh: It is not permissible to say Rest In Peace (RIP) on death of a non Muslim.Likewise, it isn't permissible to make dua of forg…"
503251959139565568,2014-08-23 18:46:31,"RT @aburumaysah1403: Why is a British soldier not considered 'radicalised' when he drops bombs on humans, but when Muslims defend against i…"
503251909609025537,2014-08-23 18:46:19,"RT @aburumaysah1403: The sad reality is, British soldiers are awarded for dropping bombs on civilians, &amp; Muslims are deemed radicalised 4 s…"
503251721720971264,2014-08-23 18:45:35,"RT @amustafaanbari3: #IS #ISIS
NEW
Al-I'tisam Media
So Disperse Those Who Are Behind Them
https://t.co/spFBFSG6mI
https://t.co/t7aXDO5d7Z h…"
503248339035779073,2014-08-23 18:32:08,Filthy Peshmerga apostates in the hands of the #Khilafah (#IS #IslamicState #Iraq) 🔨 🔨 🔨 🔪 🔪 🔪🔫 🔫 🔫: https://t.co/Zri5g67jNt
