id,created_at,text
580200781862678528,2015-03-24 02:53:40,I wish that akhwaat will stop displaying their awrah like it's for sale &amp; fear Allah as he should be feared!
580197818675036161,2015-03-24 02:41:54,Every group who is waging jihad is a terrorist &amp; extremist according to dollar scholars than who is doing jihadist the right way? You? 😏
580181800523157504,2015-03-24 01:38:15,The problem with Muslim community is that when some white guy reverts to Islam they over praise him when he knows not much knowledge smh
580176776724250624,2015-03-24 01:18:17,@yushaevans @muhammad0313 what are you against? The islamic state? AQ? Taliban? jan? Be specific!
580153792638758913,2015-03-23 23:46:57,"RT @AbuHaleema07: @Shariah4TheWest Watch ""Response to Theresa May @AbuHaleema07"" on YouTube - Response to Theresa May @AbuHaleema07: http:/…"
580137463609360384,2015-03-23 22:42:04,I guarantee you that every kuffar solider sent to Muslim lands to combat so called terrorists does this! http://t.co/8mYIY3KGmO
580136772358672384,2015-03-23 22:39:19,"Must watch &amp; share ""Open Enemies""  by akh @AbuHaleema07 http://t.co/LorfQWHj48

How is it that you like the kuffar lifestyle!  Make baraa!☝️"
580135126744477697,2015-03-23 22:32:47,Why hasn't twitter suspended me yet😏
580070705963798529,2015-03-23 18:16:48,"I wanna attend those roadshow dawah stalls, I need to take ✈️ to London! Maybe when it's under khilafah!"
580050174971506689,2015-03-23 16:55:13,I love how AbuHaleema videos are quick &amp; to the point! Unlike Dawahman baseless long videos full of head-shaking 💃
580047059954327554,2015-03-23 16:42:50,RT @AbuHaleema07: @Shariah4TheWest  Open Enemies @AbuHaleema07 @abumutassim01: http://t.co/yZ7TftiHEC
580040490554376193,2015-03-23 16:16:44,"I hate it when siblings fight, I am like the peace maker in my family! Always the radical ones do the right thing ☺️"
580025218577526785,2015-03-23 15:16:03,"Britain evacuates special forces from Yemen over worsening security http://t.co/Y1rFjwzenA http://t.co/7NehQqXIDb

Great leave Muslim lands👌"
580021542563622912,2015-03-23 15:01:26,"Afghan leadership duo visit US to secure troops, aid http://t.co/MobDu6Zn6D http://t.co/CvPMJhcVvD

Kufar at its best! time for khilafah!"
580005978906628096,2015-03-23 13:59:36,I need for stalkers &amp; kufar weirdos to leave my ask account asap😭😭 http://t.co/idEzYMZ8kc
579990380600430592,2015-03-23 12:57:37,"I hate most Saudis, I am not racist by all means I have my reasons!"
579986497232850944,2015-03-23 12:42:11,If you want to go &amp; fight along aside a foreign terrorist group it's fine &amp; legal just make sure it's not a Muslim terrorist group!
579863029459787777,2015-03-23 04:31:34,"ISIS may use terrorism as a tactic, but it is not a terrorist organization. http://t.co/0RcZakBvWo http://t.co/J8s5oULK1x"
579849859030654976,2015-03-23 03:39:14,Islamic State launches step-by-step dossier for Aussie jihadists on how to get to frontline in Syria http://t.co/68P8DOsi5Q via @syrializer
579839794726895616,2015-03-23 02:59:14,This is what radicalizes Muslims against the west! U cant simply do this to our children &amp; expect us to smile abt it! http://t.co/p53wZKPZiF
579830102286049280,2015-03-23 02:20:43,"Hey coconut Muslims you shouldn't be ashamed to proclaim your deen, call on tawheed just because it displeases the kuffar!"
579828836495421442,2015-03-23 02:15:41,"Tory candidate suspended over vote-winning allegations http://t.co/sqhhoEQ4IY

Coconut Muslims will do anything! Stopping @ nothing"
579827341054107648,2015-03-23 02:09:45,"Mothers living under ISIS share photos of children posing with guns http://t.co/kmPEqEBT09 

Typical kuffar media always attacking the #IS"
579817043689676800,2015-03-23 01:28:50,"“@UberFacts: ISIS leader Abu Bakr al-Baghdadi has a Ph.D. in Islamic Studies.”

&amp; coconut Muslims say he isn't qualified for a caliph!"
579815559233179648,2015-03-23 01:22:56,I am out of ideas to tweet about well this is awkward-- http://t.co/OvOfH28GDk
579800911414956033,2015-03-23 00:24:44,If you don't stop favoring all my tweets I would block you so quick your head will spin!
579737478380302336,2015-03-22 20:12:40,"After I tweeted what filth AbooMaryamm was, the murtad blocks me! http://t.co/nEyoaQ8EQq"
579696355838394368,2015-03-22 17:29:16,Only in America where even google is condition to be racist towards blacks! Smh http://t.co/NUhlherOJY
579686984513413120,2015-03-22 16:52:01,"Judge orders Pentagon to release photos of detainees in Iraq &amp; Afghanistan. http://t.co/qY9V9yGkul

This is what I call terrorism!"
